"","State","Year","month","checks"
"295","Virgin Islands",2020,"Jan",149
"296","Virgin Islands",2020,"Feb",71
"297","Virgin Islands",2020,"Mar",122
"298","Virgin Islands",2020,"Apr",49
"299","Virgin Islands",2020,"May",34
"300","Virgin Islands",2020,"Jun",150
"301","Virginia",2020,"Jan",68420
"302","Virginia",2020,"Feb",67257
"303","Virginia",2020,"Mar",83675
"304","Virginia",2020,"Apr",64835
"305","Virginia",2020,"May",58898
"306","Virginia",2020,"Jun",84124
"307","Washington",2020,"Jan",49714
"308","Washington",2020,"Feb",48418
"309","Washington",2020,"Mar",75529
"310","Washington",2020,"Apr",57202
"311","Washington",2020,"May",53922
"312","Washington",2020,"Jun",73517
"313","West Virginia",2020,"Jan",17974
"314","West Virginia",2020,"Feb",20942
"315","West Virginia",2020,"Mar",26346
"316","West Virginia",2020,"Apr",22429
"317","West Virginia",2020,"May",21549
"318","West Virginia",2020,"Jun",24389
"319","Wisconsin",2020,"Jan",38349
"320","Wisconsin",2020,"Feb",41799
"321","Wisconsin",2020,"Mar",77811
"322","Wisconsin",2020,"Apr",55375
"323","Wisconsin",2020,"May",49535
"324","Wisconsin",2020,"Jun",68738
"325","Wyoming",2020,"Jan",4984
"326","Wyoming",2020,"Feb",5500
"327","Wyoming",2020,"Mar",8847
"328","Wyoming",2020,"Apr",8566
"329","Wyoming",2020,"May",6272
"330","Wyoming",2020,"Jun",7901
"331","Alabama",2019,"Jan",44989
"332","Alabama",2019,"Feb",46203
"333","Alabama",2019,"Mar",51923
"334","Alabama",2019,"Apr",41146
"335","Alabama",2019,"May",43908
"336","Alabama",2019,"Jun",42898
"337","Alabama",2019,"Jul",51757
"338","Alabama",2019,"Aug",69377
"339","Alabama",2019,"Sep",56872
"340","Alabama",2019,"Oct",63254
"341","Alabama",2019,"Nov",77657
"342","Alabama",2019,"Dec",100100
"343","Alaska",2019,"Jan",4582
"344","Alaska",2019,"Feb",5233
"345","Alaska",2019,"Mar",7136
"346","Alaska",2019,"Apr",6505
"347","Alaska",2019,"May",6376
"348","Alaska",2019,"Jun",5557
"349","Alaska",2019,"Jul",5298
"350","Alaska",2019,"Aug",6796
"351","Alaska",2019,"Sep",6106
"352","Alaska",2019,"Oct",8281
"353","Alaska",2019,"Nov",7213
"354","Alaska",2019,"Dec",7840
"355","Arizona",2019,"Jan",29039
"356","Arizona",2019,"Feb",32776
"357","Arizona",2019,"Mar",37340
